Symptom,Questions,,,,,,,,,,,,,,,
Fear/anxiety of separation from most attached people,Recurrent excessive distress when anticipating or experiencing separation from home or from major attachment figures.,"Persistent and excessive worry about losing major attachment figures or about possible harm to them, such as illness, injury, disasters, or death.","Persistent and excessive worry about experiencing an untoward event (e.g., getting lost, being kidnapped, having an accident, becoming ill) that causes separation from a major attachment figure.","Persistent reluctance or refusal to go out, away from home, to school, to work, or elsewhere because of fear of separation.",Persistent and excessive fear of or reluctance about being alone or without major attachment figures at home or in other settings.,Persistent reluctance or refusal to sleep away from home or to go to sleep without being near a major attachment figure.,Repeated nightmares involving the theme of separation.,"Repeated complaints of physical symptoms (e.g., headaches, stomachaches, nausea, vomiting) when separation from major attachment figures occurs or is anticipated.",,,,,,,,
Clinically significant distress,Distress is causing social impairement.,Distress is causing academic impairement.,Distress is causing occupational impairement.,Distress is causing other important areas of functioning impairement.,,,,,,,,,,,,
Symptom not explained by other mental disorder,Patient doesn't have autism spectrum disorder.,Patient doesn't have psychotic disorder.,Patient doesn't have agorophobia.,Patient doesn't have ill health.,,,,,,,,,,,,
Social withdrawal,Patient does not want to socialize.,Patient does not enjoy socializing.,,,,,,,,,,,,,,
Apathy,"Patient has a lack of feeling, emotion, interest or concern about something of great importance.",,,,,,,,,,,,,,,
Sadness,Patient is sad. ,,,,,,,,,,,,,,,
Concentration diffuculty,Patient has difficulty concantrating.,,,,,,,,,,,,,,,
Fear of danger to family or patient itself ,Patient is afraid of him/herself or thier family is in danger.,Patient is afraid of monsters.,Patient is afraid of dark.,Patient is afraid of muggers.,Patient is afraid of burglars.,Patient is afraid of car accidents.,Patient is afraid of plane travel.,Patient is afraid of other possible dangers.,,,,,,,,
Homesick,Patient is uncomfortable to the point of misery when away from home.,Patient is missing home.,,,,,,,,,,,,,,
School refusal,Patient does not want to go to school.,,,,,,,,,,,,,,,
Anger/agression to separation cause ,Patient demonstrates anger toward possible cause of separation.,,,,,,,,,,,,,,,
Unusual perceptual experiences,Patient sees people peering into their room.,Patient sees frightening creatures reaching for them.,Patient sees feeling eyes staring at them.,,,,,,,,,,,,,
Dependent describtions of patient,Patient is described as demanding.,Patient is described as intrusive.,Patient is described as seeking constant attention.,Patient is described as dependent.,Patient is described as overprotective.,,,,,,,,,,,
Failure of speech ,"Patient fails to  speak in specific social situations in which there is an expectation for speaking (e.g., at school) despite speaking in other situations.",,,,,,,,,,,,,,,
Irrelated of knowledge,Patient has the knowledge of such subjects.,Patient can speak the language efficiently. ,,,,,,,,,,,,,,
Symptom not explained by other communication disorder,Patient does not have childhood-onset fluency disorder.,Patient does not have language disorder.,Patient does not have speech sound disortder.,Patient does not have stuttering.,Patient does not have social communication disorder.,,,,,,,,,,,
High social anxiety ,Patient gets very anxious in social situations. ,,,,,,,,,,,,,,,
excessive shyness,Patient demonstrates shyness in an amount that is not normal.,,,,,,,,,,,,,,,
fear of social embarrassment,Patient is afraid of incapacitating or embarrassing symptoms.,,,,,,,,,,,,,,,
clinging,Patient demonstrates clinging. ,,,,,,,,,,,,,,,
compulsive traits,Patient demonstrates compulsive traits.,,,,,,,,,,,,,,,
negativism,Patient is in a negative mood.,Patient makes negative comments.,Patient reponds negatively.,,,,,,,,,,,,,
temper tantrums,Patient has emotional outbursts.,,,,,,,,,,,,,,,
Oppositional behavior,Patient opposes very often.,,,,,,,,,,,,,,,
Social anxiety disorder,Patient also has social phobia.,,,,,,,,,,,,,,,
Specific anxiety/fear,"Patient has fear or anxiety about a specific object or situation (e.g., flying, heights, animals, receiving an injection, seeing blood).",,,,,,,,,,,,,,,
Immidiate anxiety/fear,The phobic object or situation almost always provokes immediate fear or anxiety.,,,,,,,,,,,,,,,
Avoidence ,Patient intentionally behaves in ways that are designed to prevent or minimize contact with phobic objects or situations.,,,,,,,,,,,,,,,
Endurance ,The phobic object or situation or situation is endured with intense fear or anxiety,,,,,,,,,,,,,,,
panic attacks,Patient had full or limited panic attack.,,,,,,,,,,,,,,,
Overreaction,"The fear or anxiety is out of proportion to the actual danger that the object or situation poses, or more intense than is deemed necessary",,,,,,,,,,,,,,,
Fear/anxiety of social situations,Patient fears social interactions.,Patient fears being observed.,Patient fears performing infront of others. ,"Patient has crying, tantrums, freezing, clinging, or shrinking in social situations.",,,,,,,,,,,,
Avoidence/Endurence of social situations,The social situations are avoided or endured with intense fear or anxiety.,,,,,,,,,,,,,,,
Not drug induced,"The fear, anxiety, or avoidance is not attributable to the physiological effects of a substance",,,,,,,,,,,,,,,
Fear/anxiety of offending,Patient fears offending another person.,,,,,,,,,,,,,,,
Fear/anxiety of being rejected,"Patient is concerned that he or she will be judged as anxious, weak, crazy, stupid, boring, intimidating, dirty, or unlikable","Patient fears that he or she will act or appear in a certain way or show anxiety symptoms, such as blushing, trembling, sweating, stumbling over one’s words, or staring, that will be negatively evaluated by others",,,,,,,,,,,,,,
Reccurrent unexpected panic attacks ,Patient has reccurent unexpected panic attacks.,,,,,,,,,,,,,,,
Fear/anxiety of more panic attacks ,Patient has persistent concern or worry about additional panic attacks or their consequences,,,,,,,,,,,,,,,
Avoidance of panic attacks ,A significant maladaptive change in behavior related to the attacks,,,,,,,,,,,,,,,
Social concerns,Patient has embarrassment or fear of being judged negatively by others because of visible panic symptoms.,"Patient concerns about mental functioning, such as “going crazy” or losing control.",,,,,,,,,,,,,,
Nocturnal panic attack,Patient wakes up to panic attacks. ,,,,,,,,,,,,,,,
Agorophobia main (at least two),Patient has fear/anxiety using public transport.,Patient has fear/anxiety being in open spaces.,Patient has fear/anxiety being in enclosed places.,Patient has fear/anxiety standing in line or being in crowd.,Patient has fear/anxiety being outside of the home alone.,,,,,,,,,,,
Triggered anxiety/fear,Triggering situations or objects almost always provoke fear or anxiety.,,,,,,,,,,,,,,,
Homebound ,"Patient is ompletely homebound, unable to leave their home and dependent on others for services or assistance to provide even for basic needs.",,,,,,,,,,,,,,,
Demoralization,Patient has a low mood.,,,,,,,,,,,,,,,
Depression,Patient is depressed.,,,,,,,,,,,,,,,
Substance abuse,Patient abuses substances like alcohol or drugs.,,,,,,,,,,,,,,,
Self-medication,Patient applies innappropriate self-medication.,,,,,,,,,,,,,,,
Excessive anxiety and worry,"Patient worry about everyday, routine life circumstances, such as possible job responsibilities, health and finances, the health of family members, misfortune to their children, or minor matters.",Patient  worry excessively about their competence or the quality of their performance.,,,,,,,,,,,,,,
Uncontrolable worry,Patient finds it difficult to control the worry,Patient keep worrisome thoughts from interfering with attention to tasks at hand.,,,,,,,,,,,,,,
Restlessness,Patient feels restlessness.,Patient feels keyed up.,Patient feels on edge.,,,,,,,,,,,,,
Fatigue,Patient feels easily fatigued.,,,,,,,,,,,,,,,
Irritability,Patient is irritable.,,,,,,,,,,,,,,,
